model_name,model_url,model_task,model_category
alefarasin/ppo-CartPole-v1,https://huggingface.co/alefarasin/ppo-CartPole-v1,reinforcement-learning,reinforcement-learning
ogkalu/Comic-Diffusion,https://huggingface.co/ogkalu/Comic-Diffusion,text-to-image,multimodal
kyle-lucke/autotrain-planes-1918465011,https://huggingface.co/kyle-lucke/autotrain-planes-1918465011,tabular-classification,tabular
guumaster/commedia-diffusion,https://huggingface.co/guumaster/commedia-diffusion,text-to-image,multimodal
VEG3/TLDR-Vegan-Studies,https://huggingface.co/VEG3/TLDR-Vegan-Studies,summarization,natural-language-processing
henilp105/wav2vec2-base-ASR-telugu,https://huggingface.co/henilp105/wav2vec2-base-ASR-telugu,automatic-speech-recognition,audio
Tritkoman/EnglishtoBulgarian,https://huggingface.co/Tritkoman/EnglishtoBulgarian,translation,natural-language-processing
NikitaBaramiia/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/NikitaBaramiia/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
RafboOrg/ppo-LunarLander-v2,https://huggingface.co/RafboOrg/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
guumaster/smoke-diffusion,https://huggingface.co/guumaster/smoke-diffusion,text-to-image,multimodal
herpritts/FFXIV-Style,https://huggingface.co/herpritts/FFXIV-Style,text-to-image,multimodal
bguan/q-Taxi-v3,https://huggingface.co/bguan/q-Taxi-v3,reinforcement-learning,reinforcement-learning
Ramos-Ramos/emb-gam-dino,https://huggingface.co/Ramos-Ramos/emb-gam-dino,tabular-classification,tabular
Tritkoman/English2Sardinian,https://huggingface.co/Tritkoman/English2Sardinian,translation,natural-language-processing
svjack/Stable-Diffusion-Pokemon-ja,https://huggingface.co/svjack/Stable-Diffusion-Pokemon-ja,text-to-image,multimodal
fumi13/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/fumi13/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
fumi13/q-Taxi-v3,https://huggingface.co/fumi13/q-Taxi-v3,reinforcement-learning,reinforcement-learning
svjack/Stable-Diffusion-Pokemon-en,https://huggingface.co/svjack/Stable-Diffusion-Pokemon-en,text-to-image,multimodal
svjack/Stable-Diffusion-Pokemon-zh,https://huggingface.co/svjack/Stable-Diffusion-Pokemon-zh,text-to-image,multimodal
fumi13/testpyramidsrnd,https://huggingface.co/fumi13/testpyramidsrnd,reinforcement-learning,reinforcement-learning
AkiKagura/mkgen-diffusion,https://huggingface.co/AkiKagura/mkgen-diffusion,text-to-image,multimodal
Madiator2011/Lyoko-Diffusion-v1.1,https://huggingface.co/Madiator2011/Lyoko-Diffusion-v1.1,text-to-image,multimodal
proxima/halloween_diffusion,https://huggingface.co/proxima/halloween_diffusion,text-to-image,multimodal
nitrosocke/classic-anim-diffusion,https://huggingface.co/nitrosocke/classic-anim-diffusion,text-to-image,multimodal
guumaster/blot-monster-diffusion,https://huggingface.co/guumaster/blot-monster-diffusion,text-to-image,multimodal
DingYao/autotrain-fbert-singlish-2-1937065404,https://huggingface.co/DingYao/autotrain-fbert-singlish-2-1937065404,text-classification,natural-language-processing
ivanchangoluisa/ppo-LunarLander-v2,https://huggingface.co/ivanchangoluisa/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
motmono/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/motmono/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
motmono/q-Taxi-v3,https://huggingface.co/motmono/q-Taxi-v3,reinforcement-learning,reinforcement-learning
motmono/q-Taxi-v3-100k,https://huggingface.co/motmono/q-Taxi-v3-100k,reinforcement-learning,reinforcement-learning
dallinmackay/Tron-Legacy-diffusion,https://huggingface.co/dallinmackay/Tron-Legacy-diffusion,text-to-image,multimodal
elRivx/sd-newhorrorfantasy_style,https://huggingface.co/elRivx/sd-newhorrorfantasy_style,text-to-image,multimodal
FaroukFaiz/nateraw_world-happiness_2018.csv,https://huggingface.co/FaroukFaiz/nateraw_world-happiness_2018.csv,tabular-classification,tabular
FaroukFaiz/nateraw_world-happiness_2018_2.csv,https://huggingface.co/FaroukFaiz/nateraw_world-happiness_2018_2.csv,tabular-classification,tabular
PraveenKishore/a2c-AntBulletEnv-v0,https://huggingface.co/PraveenKishore/a2c-AntBulletEnv-v0,reinforcement-learning,reinforcement-learning
summary71/testpyramidsrnd,https://huggingface.co/summary71/testpyramidsrnd,reinforcement-learning,reinforcement-learning
PraveenKishore/ppo-scratch-LunarLander-v2,https://huggingface.co/PraveenKishore/ppo-scratch-LunarLander-v2,reinforcement-learning,reinforcement-learning
db0/microworlds,https://huggingface.co/db0/microworlds,text-to-image,multimodal
IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-v0.1,https://huggingface.co/IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-v0.1,text-to-image,multimodal
padmalcom/tts-tacotron2-german,https://huggingface.co/padmalcom/tts-tacotron2-german,text-to-speech,audio
DingYao/autotrain-fbert-singlish-5-1943965533,https://huggingface.co/DingYao/autotrain-fbert-singlish-5-1943965533,text-classification,natural-language-processing
motmono/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/motmono/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
prompthero/poolsuite-diffusion,https://huggingface.co/prompthero/poolsuite-diffusion,text-to-image,multimodal
dchaplinsky/uk_ner_web_trf_large,https://huggingface.co/dchaplinsky/uk_ner_web_trf_large,token-classification,natural-language-processing
motmono/MLUnityPyramids,https://huggingface.co/motmono/MLUnityPyramids,reinforcement-learning,reinforcement-learning
turkish-nlp-suite/tr_core_news_trf,https://huggingface.co/turkish-nlp-suite/tr_core_news_trf,token-classification,natural-language-processing
eolecvk/model-test,https://huggingface.co/eolecvk/model-test,text-to-image,multimodal
IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-EN-v0.1,https://huggingface.co/IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-EN-v0.1,text-to-image,multimodal
SSK0908/ppo-LunarLander-v2,https://huggingface.co/SSK0908/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
bryanhpchiang/anim,https://huggingface.co/bryanhpchiang/anim,text-to-image,multimodal
dary/11_k,https://huggingface.co/dary/11_k,translation,natural-language-processing
Nerfgun3/ArtModel,https://huggingface.co/Nerfgun3/ArtModel,text-to-image,multimodal
uripper/GIANNIS,https://huggingface.co/uripper/GIANNIS,unconditional-image-generation,computer-vision
ayyuce/my_solar_model,https://huggingface.co/ayyuce/my_solar_model,tabular-regression,tabular
Re7X/ProjectTurn8,https://huggingface.co/Re7X/ProjectTurn8,text-to-image,multimodal
domenicrosati/roberta-base-squad2-nq-bioasq-optimized-quantized,https://huggingface.co/domenicrosati/roberta-base-squad2-nq-bioasq-optimized-quantized,question-answering,natural-language-processing
domenicrosati/roberta-base-squad2-nq-bioasq-optimized,https://huggingface.co/domenicrosati/roberta-base-squad2-nq-bioasq-optimized,question-answering,natural-language-processing
motmono/Reinforce-PixelCopterPLEv0,https://huggingface.co/motmono/Reinforce-PixelCopterPLEv0,reinforcement-learning,reinforcement-learning
anilbs/pipeline,https://huggingface.co/anilbs/pipeline,automatic-speech-recognition,audio
anilbs/segmentation,https://huggingface.co/anilbs/segmentation,voice-activity-detection,audio
motmono/Reinforcement-CartPole-v1,https://huggingface.co/motmono/Reinforcement-CartPole-v1,reinforcement-learning,reinforcement-learning
flax/mo-di-diffusion,https://huggingface.co/flax/mo-di-diffusion,text-to-image,multimodal
flax/waifu-diffusion,https://huggingface.co/flax/waifu-diffusion,text-to-image,multimodal
flax/classic-anim-diffusion,https://huggingface.co/flax/classic-anim-diffusion,text-to-image,multimodal
nvidia/stt_ru_conformer_ctc_large,https://huggingface.co/nvidia/stt_ru_conformer_ctc_large,automatic-speech-recognition,audio
bguan/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/bguan/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
flax/Cyberpunk-Anime-Diffusion,https://huggingface.co/flax/Cyberpunk-Anime-Diffusion,text-to-image,multimodal
flax/Arcane-Diffusion,https://huggingface.co/flax/Arcane-Diffusion,text-to-image,multimodal
timm/vit_base_patch16_clip_224.openai,https://huggingface.co/timm/vit_base_patch16_clip_224.openai,image-classification,computer-vision
flax/Tron-Legacy-diffusion,https://huggingface.co/flax/Tron-Legacy-diffusion,text-to-image,multimodal
timm/vit_base_patch32_clip_224.laion2b_ft_in1k,https://huggingface.co/timm/vit_base_patch32_clip_224.laion2b_ft_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_224.laion2b_ft_in1k,https://huggingface.co/timm/vit_large_patch14_clip_224.laion2b_ft_in1k,image-classification,computer-vision
timm/vit_huge_patch14_clip_224.laion2b_ft_in1k,https://huggingface.co/timm/vit_huge_patch14_clip_224.laion2b_ft_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_224.laion2b_ft_in12k,https://huggingface.co/timm/vit_large_patch14_clip_224.laion2b_ft_in12k,image-classification,computer-vision
timm/vit_huge_patch14_clip_224.laion2b_ft_in12k,https://huggingface.co/timm/vit_huge_patch14_clip_224.laion2b_ft_in12k,image-classification,computer-vision
egumasa/en_engagement_RoBERTa_combined,https://huggingface.co/egumasa/en_engagement_RoBERTa_combined,token-classification,natural-language-processing
flax/StudioGhibli,https://huggingface.co/flax/StudioGhibli,text-to-image,multimodal
heyharmon/predict-page-is-junk-0.1.0,https://huggingface.co/heyharmon/predict-page-is-junk-0.1.0,text-classification,natural-language-processing
summary71/a2c-AntBulletEnv-v0,https://huggingface.co/summary71/a2c-AntBulletEnv-v0,reinforcement-learning,reinforcement-learning
Galeros/testpyramidsrnd,https://huggingface.co/Galeros/testpyramidsrnd,reinforcement-learning,reinforcement-learning
dchaplinsky/flair-uk-ner,https://huggingface.co/dchaplinsky/flair-uk-ner,token-classification,natural-language-processing
Nerfgun3/NekoModel,https://huggingface.co/Nerfgun3/NekoModel,text-to-image,multimodal
scite/roberta-base-squad2-nq-bioasq-optimized-gpu,https://huggingface.co/scite/roberta-base-squad2-nq-bioasq-optimized-gpu,question-answering,natural-language-processing
safoinme/zenml-mnist-demo,https://huggingface.co/safoinme/zenml-mnist-demo,image-classification,computer-vision
turkish-nlp-suite/tr_vectors_web_md,https://huggingface.co/turkish-nlp-suite/tr_vectors_web_md,token-classification,natural-language-processing
turkish-nlp-suite/tr_vectors_web_lg,https://huggingface.co/turkish-nlp-suite/tr_vectors_web_lg,token-classification,natural-language-processing
timm/vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_224.openai_ft_in1k,https://huggingface.co/timm/vit_large_patch14_clip_224.openai_ft_in1k,image-classification,computer-vision
dodge99/ppo-LunarLander-v2,https://huggingface.co/dodge99/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
timm/vit_large_patch14_clip_224.openai_ft_in12k_in1k,https://huggingface.co/timm/vit_large_patch14_clip_224.openai_ft_in12k_in1k,image-classification,computer-vision
timm/vit_large_patch14_clip_224.openai_ft_in12k,https://huggingface.co/timm/vit_large_patch14_clip_224.openai_ft_in12k,image-classification,computer-vision
bguan/pyramidsrnd1Msteps,https://huggingface.co/bguan/pyramidsrnd1Msteps,reinforcement-learning,reinforcement-learning
MS-Go/autotrain-hjuihu-1974565969,https://huggingface.co/MS-Go/autotrain-hjuihu-1974565969,summarization,natural-language-processing
ogkalu/Superhero-Diffusion,https://huggingface.co/ogkalu/Superhero-Diffusion,text-to-image,multimodal
GuiGel/beto-uncased-flert-context-we-finetune-meddocan,https://huggingface.co/GuiGel/beto-uncased-flert-context-we-finetune-meddocan,token-classification,natural-language-processing
Guizmus/Tardisfusion,https://huggingface.co/Guizmus/Tardisfusion,text-to-image,multimodal
MS-Go/autotrain-bart_normaldata-1976866012,https://huggingface.co/MS-Go/autotrain-bart_normaldata-1976866012,summarization,natural-language-processing
elRivx/DMVC2,https://huggingface.co/elRivx/DMVC2,text-to-image,multimodal
sadanyh/Arabic-Dialect-Translation,https://huggingface.co/sadanyh/Arabic-Dialect-Translation,translation,natural-language-processing
turkish-nlp-suite/tr_core_news_md,https://huggingface.co/turkish-nlp-suite/tr_core_news_md,token-classification,natural-language-processing
turkish-nlp-suite/tr_core_news_lg,https://huggingface.co/turkish-nlp-suite/tr_core_news_lg,token-classification,natural-language-processing
pnichite/en_pipeline_123,https://huggingface.co/pnichite/en_pipeline_123,token-classification,natural-language-processing
drandran/asmonbald,https://huggingface.co/drandran/asmonbald,text-to-image,multimodal
Jersonm89/Avatar,https://huggingface.co/Jersonm89/Avatar,text-to-image,multimodal
0xkrm/ppo-LunarLander-v2,https://huggingface.co/0xkrm/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
nateraw/zack-fox,https://huggingface.co/nateraw/zack-fox,text-to-image,multimodal
0xkrm/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/0xkrm/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
0xkrm/q-Taxi-v3,https://huggingface.co/0xkrm/q-Taxi-v3,reinforcement-learning,reinforcement-learning
rabidgremlin/sd-db-block-world-rtx,https://huggingface.co/rabidgremlin/sd-db-block-world-rtx,text-to-image,multimodal
nlp-tlp/mwo-ner-test,https://huggingface.co/nlp-tlp/mwo-ner-test,token-classification,natural-language-processing
jinofcoolnes/corporate_memphis,https://huggingface.co/jinofcoolnes/corporate_memphis,text-to-image,multimodal
padmalcom/tts-hifigan-german,https://huggingface.co/padmalcom/tts-hifigan-german,text-to-speech,audio
neerajp/en_core_web_lg,https://huggingface.co/neerajp/en_core_web_lg,token-classification,natural-language-processing
harveymannering/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/harveymannering/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
harveymannering/q-Taxi-v3,https://huggingface.co/harveymannering/q-Taxi-v3,reinforcement-learning,reinforcement-learning
GuiGel/meddocan-flair-lstm-crf,https://huggingface.co/GuiGel/meddocan-flair-lstm-crf,token-classification,natural-language-processing
dchaplinsky/fasttext_uk,https://huggingface.co/dchaplinsky/fasttext_uk,feature-extraction,multimodal
ManMir/ppo-LunarLander-v2,https://huggingface.co/ManMir/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
NikitaShu/testPyramids,https://huggingface.co/NikitaShu/testPyramids,reinforcement-learning,reinforcement-learning
navidfk/autotrain-wine-1986366196,https://huggingface.co/navidfk/autotrain-wine-1986366196,tabular-classification,tabular
espnet/iam_handwriting_ocr,https://huggingface.co/espnet/iam_handwriting_ocr,image-to-text,multimodal
OSalem99/ppo-LunarLander-v2,https://huggingface.co/OSalem99/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
dhmeltzer/ppo-LunarLander-v2,https://huggingface.co/dhmeltzer/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
andrewzhang505/doom-duel-selfplay,https://huggingface.co/andrewzhang505/doom-duel-selfplay,reinforcement-learning,reinforcement-learning
dodge99/q-FrozenLake-v1-4x4-Slippery,https://huggingface.co/dodge99/q-FrozenLake-v1-4x4-Slippery,reinforcement-learning,reinforcement-learning
dodge99/q-Taxi-v3,https://huggingface.co/dodge99/q-Taxi-v3,reinforcement-learning,reinforcement-learning
dallinmackay/Van-Gogh-diffusion,https://huggingface.co/dallinmackay/Van-Gogh-diffusion,text-to-image,multimodal
elRivx/reasonableDrink,https://huggingface.co/elRivx/reasonableDrink,text-to-image,multimodal
hope12138/cnn-drift,https://huggingface.co/hope12138/cnn-drift,image-classification,computer-vision
UGARIT/flair_grc_multi_ner,https://huggingface.co/UGARIT/flair_grc_multi_ner,token-classification,natural-language-processing
UGARIT/flair_grc_bert_ner,https://huggingface.co/UGARIT/flair_grc_bert_ner,token-classification,natural-language-processing
ShinCore/MMDv1-18,https://huggingface.co/ShinCore/MMDv1-18,text-to-image,multimodal
s3nh/beksinski-style-stable-diffusion,https://huggingface.co/s3nh/beksinski-style-stable-diffusion,text-to-image,multimodal
franfram/ppo-LunarLander-v2,https://huggingface.co/franfram/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
radeveljic99/ppo-LunarLander-v2,https://huggingface.co/radeveljic99/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
halflings/diabetes_detection_fixed2,https://huggingface.co/halflings/diabetes_detection_fixed2,tabular-classification,tabular
halflings/diabetes_detection_fixed3,https://huggingface.co/halflings/diabetes_detection_fixed3,tabular-classification,tabular
timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,image-classification,computer-vision
timm/vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,image-classification,computer-vision
rabidgremlin/sd-db-epic-space-machine,https://huggingface.co/rabidgremlin/sd-db-epic-space-machine,text-to-image,multimodal
svjack/Stable-Diffusion-FineTuned-zh-v0,https://huggingface.co/svjack/Stable-Diffusion-FineTuned-zh-v0,text-to-image,multimodal
halflings/diabetes_detection_scaler,https://huggingface.co/halflings/diabetes_detection_scaler,tabular-classification,tabular
irfanns/autotrain-english-to-interlingua-translator-2002766502,https://huggingface.co/irfanns/autotrain-english-to-interlingua-translator-2002766502,translation,natural-language-processing
halflings/iris_classification,https://huggingface.co/halflings/iris_classification,tabular-classification,tabular
halflings/diabetes_detection_v2,https://huggingface.co/halflings/diabetes_detection_v2,tabular-classification,tabular
ahmadRa/ppo-LunarLander-v2-try1,https://huggingface.co/ahmadRa/ppo-LunarLander-v2-try1,reinforcement-learning,reinforcement-learning
Guizmus/DarkSoulsDiffusion,https://huggingface.co/Guizmus/DarkSoulsDiffusion,text-to-image,multimodal
franfram/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/franfram/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
franfram/q-Taxi-v3,https://huggingface.co/franfram/q-Taxi-v3,reinforcement-learning,reinforcement-learning
phildav/PPO-LunarLander-v2,https://huggingface.co/phildav/PPO-LunarLander-v2,reinforcement-learning,reinforcement-learning
svjack/Stable-Diffusion-FineTuned-zh-v1,https://huggingface.co/svjack/Stable-Diffusion-FineTuned-zh-v1,text-to-image,multimodal
NikitaBaramiia/testpyramidsrnd,https://huggingface.co/NikitaBaramiia/testpyramidsrnd,reinforcement-learning,reinforcement-learning
nitrosocke/redshift-diffusion,https://huggingface.co/nitrosocke/redshift-diffusion,text-to-image,multimodal
0xkrm/dqn-SpaceInvadersNoFrameskip-v4,https://huggingface.co/0xkrm/dqn-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning
Jacobo/grc_ud_proiel_trf,https://huggingface.co/Jacobo/grc_ud_proiel_trf,token-classification,natural-language-processing
0xJustin/Dungeons-and-Diffusion,https://huggingface.co/0xJustin/Dungeons-and-Diffusion,text-to-image,multimodal
halflings/house_price_prediction_ser,https://huggingface.co/halflings/house_price_prediction_ser,tabular-regression,tabular
prompthero/linkedin-diffusion,https://huggingface.co/prompthero/linkedin-diffusion,text-to-image,multimodal
dchaplinsky/flair-uk-pos,https://huggingface.co/dchaplinsky/flair-uk-pos,token-classification,natural-language-processing
halflings/house_price_prediction_dev,https://huggingface.co/halflings/house_price_prediction_dev,tabular-regression,tabular
halflings/house_price_prediction_ser2,https://huggingface.co/halflings/house_price_prediction_ser2,tabular-regression,tabular
Guizmus/BloodborneDiffusion,https://huggingface.co/Guizmus/BloodborneDiffusion,text-to-image,multimodal
dallinmackay/Cats-Musical-diffusion,https://huggingface.co/dallinmackay/Cats-Musical-diffusion,text-to-image,multimodal
svjack/Stable-Diffusion-FineTuned-zh-v2,https://huggingface.co/svjack/Stable-Diffusion-FineTuned-zh-v2,text-to-image,multimodal
timm/vit_large_patch14_clip_336.laion2b_ft_in1k,https://huggingface.co/timm/vit_large_patch14_clip_336.laion2b_ft_in1k,image-classification,computer-vision
ahmadRa/q-FrozenLake-v1-4x4-noSlippery-try1,https://huggingface.co/ahmadRa/q-FrozenLake-v1-4x4-noSlippery-try1,reinforcement-learning,reinforcement-learning
ahmadRa/q-Taxi-v3-try1,https://huggingface.co/ahmadRa/q-Taxi-v3-try1,reinforcement-learning,reinforcement-learning
alibaba-pai/pai-diffusion-poem-large-zh,https://huggingface.co/alibaba-pai/pai-diffusion-poem-large-zh,text-to-image,multimodal
dh-unibe/koenigsfelden-ner-v1,https://huggingface.co/dh-unibe/koenigsfelden-ner-v1,token-classification,natural-language-processing
franfram/testpyramidsrnd,https://huggingface.co/franfram/testpyramidsrnd,reinforcement-learning,reinforcement-learning
GuiGel/beto-uncased-flert-finetune-meddocan,https://huggingface.co/GuiGel/beto-uncased-flert-finetune-meddocan,token-classification,natural-language-processing
s3nh/artwork-arcane-stable-diffusion,https://huggingface.co/s3nh/artwork-arcane-stable-diffusion,text-to-image,multimodal
GuiGel/meddocan-flair-we-lstm-crf,https://huggingface.co/GuiGel/meddocan-flair-we-lstm-crf,token-classification,natural-language-processing
GuiGel/beto-uncased-flert-lstm-crf-meddocan,https://huggingface.co/GuiGel/beto-uncased-flert-lstm-crf-meddocan,token-classification,natural-language-processing
GuiGel/xlm-roberta-large-flert-we-finetune-meddocan,https://huggingface.co/GuiGel/xlm-roberta-large-flert-we-finetune-meddocan,token-classification,natural-language-processing
GuiGel/xlm-roberta-large-flert-finetune-meddocan,https://huggingface.co/GuiGel/xlm-roberta-large-flert-finetune-meddocan,token-classification,natural-language-processing
elRivx/megaPals,https://huggingface.co/elRivx/megaPals,text-to-image,multimodal
edbeeching/atari_alien_3333,https://huggingface.co/edbeeching/atari_alien_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_phoenix_3333,https://huggingface.co/edbeeching/atari_phoenix_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_pitfall_3333,https://huggingface.co/edbeeching/atari_pitfall_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_pong_3333,https://huggingface.co/edbeeching/atari_pong_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_privateye_3333,https://huggingface.co/edbeeching/atari_privateye_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_qbert_3333,https://huggingface.co/edbeeching/atari_qbert_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_riverraid_3333,https://huggingface.co/edbeeching/atari_riverraid_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_roadrunner_3333,https://huggingface.co/edbeeching/atari_roadrunner_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_robotank_3333,https://huggingface.co/edbeeching/atari_robotank_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_seaquest_3333,https://huggingface.co/edbeeching/atari_seaquest_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_skiing_3333,https://huggingface.co/edbeeching/atari_skiing_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_solaris_3333,https://huggingface.co/edbeeching/atari_solaris_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_spaceinvaders_3333,https://huggingface.co/edbeeching/atari_spaceinvaders_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_stargunner_3333,https://huggingface.co/edbeeching/atari_stargunner_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_tennis_3333,https://huggingface.co/edbeeching/atari_tennis_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_timepilot_3333,https://huggingface.co/edbeeching/atari_timepilot_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_tutankham_3333,https://huggingface.co/edbeeching/atari_tutankham_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_upndown_3333,https://huggingface.co/edbeeching/atari_upndown_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_venture_3333,https://huggingface.co/edbeeching/atari_venture_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_videopinball_3333,https://huggingface.co/edbeeching/atari_videopinball_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_wizardofwor_3333,https://huggingface.co/edbeeching/atari_wizardofwor_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_yarsrevenge_3333,https://huggingface.co/edbeeching/atari_yarsrevenge_3333,reinforcement-learning,reinforcement-learning
edbeeching/atari_zaxxon_3333,https://huggingface.co/edbeeching/atari_zaxxon_3333,reinforcement-learning,reinforcement-learning
Asfesalas/ppo-LunarLander-v2,https://huggingface.co/Asfesalas/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning
espnet/wanchichen_fleurs_asr_conformer_hier_lid_utt,https://huggingface.co/espnet/wanchichen_fleurs_asr_conformer_hier_lid_utt,automatic-speech-recognition,audio
bguan/Reinforce-CartPole-v1,https://huggingface.co/bguan/Reinforce-CartPole-v1,reinforcement-learning,reinforcement-learning
gaioNL/lesson2FrozenLake,https://huggingface.co/gaioNL/lesson2FrozenLake,reinforcement-learning,reinforcement-learning
Fictiverse/Stable_Diffusion_Microscopic_model,https://huggingface.co/Fictiverse/Stable_Diffusion_Microscopic_model,text-to-image,multimodal
GuiGel/beto-uncased-flert-context-we-lstm-crf-meddocan,https://huggingface.co/GuiGel/beto-uncased-flert-context-we-lstm-crf-meddocan,token-classification,natural-language-processing
bguan/Reinforce-Pixelcopter-PLE-v0,https://huggingface.co/bguan/Reinforce-Pixelcopter-PLE-v0,reinforcement-learning,reinforcement-learning
aidystark/3Dillustration-stable-diffusion,https://huggingface.co/aidystark/3Dillustration-stable-diffusion,text-to-image,multimodal
Fictiverse/Stable_Diffusion_FluidArt_Model,https://huggingface.co/Fictiverse/Stable_Diffusion_FluidArt_Model,text-to-image,multimodal
prompthero/openjourney,https://huggingface.co/prompthero/openjourney,text-to-image,multimodal
dreaming-tree/rl_class,https://huggingface.co/dreaming-tree/rl_class,reinforcement-learning,reinforcement-learning
Fictiverse/Stable_Diffusion_PaperCut_Model,https://huggingface.co/Fictiverse/Stable_Diffusion_PaperCut_Model,text-to-image,multimodal
Mario16180/ElPanaMario_LunarLanderV2_FirstAttempt,https://huggingface.co/Mario16180/ElPanaMario_LunarLanderV2_FirstAttempt,reinforcement-learning,reinforcement-learning
skaliy/spine-segmentation,https://huggingface.co/skaliy/spine-segmentation,image-segmentation,computer-vision
philschmid/pyannote-segmentation,https://huggingface.co/philschmid/pyannote-segmentation,voice-activity-detection,audio
mrahusain/q-FrozenLake-v1-4x4-noSlippery,https://huggingface.co/mrahusain/q-FrozenLake-v1-4x4-noSlippery,reinforcement-learning,reinforcement-learning
mrahusain/q-Taxi-v3,https://huggingface.co/mrahusain/q-Taxi-v3,reinforcement-learning,reinforcement-learning
scite/ms-marco-MiniLM-L-12-v2-onnx-optimized,https://huggingface.co/scite/ms-marco-MiniLM-L-12-v2-onnx-optimized,text-classification,natural-language-processing
